Adapter: AMD Radeon RX 7600 [hardware]
Resource path: Texture2D RGBA32F
PASS 1x1 -> 13x7; max_abs_error=0; dispatch_ms=0.00172
PASS 2x2 -> 3x3; max_abs_error=0; dispatch_ms=0.0014
PASS 7x5 -> 7x5; max_abs_error=1.90735e-06; dispatch_ms=0.00144
PASS 17x9 -> 37x23; max_abs_error=7.62939e-06; dispatch_ms=0.00136
PASS 1x7 -> 9x17; max_abs_error=3.8147e-06; dispatch_ms=0.00128
PASS 1920x1 -> 3840x1; max_abs_error=3.8147e-06; dispatch_ms=0.00176
PASS 1x1080 -> 1x2160; max_abs_error=9.53674e-07; dispatch_ms=0.00188
PASS 1919x3 -> 3839x7; max_abs_error=7.62939e-06; dispatch_ms=0.00268
PASS 1920x1080 -> 3840x2160; max_abs_error=3.8147e-06; dispatch_ms=0.5806
Spatial baseline only; single-dispatch timings are not TSR/game performance.
